SEASON,SITE,SPECIES,GENUS,PROP
1_SM18,WT,PA,C,1
1_SM18,WT,PA,D,0
1_SM18,WT,PA,CD,0
2_FL,WT,PA,C,1
2_FL,WT,PA,D,0
2_FL,WT,PA,CD,0
3_WNT,WT,PA,C,1
3_WNT,WT,PA,D,0
3_WNT,WT,PA,CD,0
4_SP,WT,PA,C,0
4_SP,WT,PA,D,0
4_SP,WT,PA,CD,0
5_SM19,WT,PA,C,0
5_SM19,WT,PA,D,0
5_SM19,WT,PA,CD,0
1_SM18,OT,PA,C,0
1_SM18,OT,PA,D,1
1_SM18,OT,PA,CD,0
2_FL,OT,PA,C,0
2_FL,OT,PA,D,1
2_FL,OT,PA,CD,0
3_WNT,OT,PA,C,0
3_WNT,OT,PA,D,0.8
3_WNT,OT,PA,CD,0.2
4_SP,OT,PA,C,0
4_SP,OT,PA,D,1
4_SP,OT,PA,CD,0
5_SM19,OT,PA,C,0
5_SM19,OT,PA,D,0
5_SM19,OT,PA,CD,0
